"BN","School_Year","Start_Date","Overall_Rating","Indicator_1.1","Indicator_1.2","Indicator_1.3","Indicator_1.4","Indicator_1.5","Indicator_1.6","Indicator_1.7","IndicatorOverall_1","Indicator_2.1","Indicator_2.2","Indicator_2.3","Indicator_2.4","Indicator_2.5","Indicator_2.6","Indicator_2.7","IndicatorOverall_2","Indicator_3.1","Indicator_3.2","Indicator_3.3","Indicator_3.4","Indicator_3.5","Indicator_3.6","Indicator_3.7","Indicator_3.8","IndicatorOverall_3","Indicator_4.1","Indicator_4.2","Indicator_4.3","Indicator_4.4","Indicator_4.5","Indicator_4.6","Indicator_4.7","IndicatorOverall_4","Indicator_5.1","Indicator_5.2","Indicator_5.3","Indicator_5.4","Indicator_5.5","Indicator_5.6","Indicator_5.7","IndicatorOverall_5"
"M307","2005-06","38810","P","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M459","2005-06","38810","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M560","2005-06","38810","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
"K469","2006-07","38987","P","P","P","U","P","No Data","No Data","No Data","P","P","U","P","P","U","No Data","No Data","P","P","U","P","P","U","P","P","WD","P","P","U","P","P","P","P","P","P","U","P","U","U","No Data","No Data","No Data","U"
"M294","2005-06","38812","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M299","2005-06","38812","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","No Data","No Data","No Data","P"
"M407","2005-06","38812","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M519","2005-06","38812","WD","P","P","P","P","No Data","No Data","No Data","P","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M304","2005-06","38814","P","P","P","P","P","No Data","No Data","No Data","P","P","P","P","P","P","No Data","No Data","P","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","P","P","P","P","No Data","No Data","No Data","P"
"M449","2005-06","38814","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD","WD","WD","WD","WD","WD","No Data","No Data","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","WD","No Data","No Data","No Data","WD"
